title,imdb_id,keywords
Cheerleader Camp,tt0092744,murder
Cheerleader Camp,tt0092744,serial killer
Cheerleader Camp,tt0092744,slasher
Cheerleader Camp,tt0092744,summer
Cheerleader Camp,tt0092744,summer holiday
Tuff Turf,tt0090213,dance
Tuff Turf,tt0090213,gangster
Tuff Turf,tt0090213,high school
Tuff Turf,tt0090213,gang
Class of Nuke 'Em High,tt0090849,monster
Class of Nuke 'Em High,tt0090849,b movie
Class of 1984,tt0083739,detective
Class of 1984,tt0083739,music teacher
Class of 1984,tt0083739,punk rock
Class of 1984,tt0083739,high school
Class of 1984,tt0083739,vigilante
Class of 1984,tt0083739,violence in schools
Class of 1984,tt0083739,murder
Class of 1984,tt0083739,teacher
Class of 1984,tt0083739,gang
Class of 1984,tt0083739,juvenile delinquent
Class of 1984,tt0083739,cult film
Class of 1984,tt0083739,canuxploitation
Exterminators of the Year 3000,tt0085514,post-apocalyptic future
Exterminators of the Year 3000,tt0085514,wasteland
Exterminators of the Year 3000,tt0085514,desert
Exterminators of the Year 3000,tt0085514,nuclear
1990: The Bronx Warriors,tt0085124,street gang
1990: The Bronx Warriors,tt0085124,gang war
Endgame,tt0089091,telepathy
Endgame,tt0089091,mutant
Endgame,tt0089091,post-apocalyptic future
2019: After the Fall of New York,tt0085125,new york city
2019: After the Fall of New York,tt0085125,cyborg
2019: After the Fall of New York,tt0085125,martial arts
2019: After the Fall of New York,tt0085125,post-apocalyptic future
2019: After the Fall of New York,tt0085125,dystopia
2019: After the Fall of New York,tt0085125,murder
Equalizer 2000,tt0091012,post-apocalyptic future
Equalizer 2000,tt0091012,wasteland
Equalizer 2000,tt0091012,motorcycle gang
Equalizer 2000,tt0091012,desert
Equalizer 2000,tt0091012,machine gun
Hands of Steel,tt0091166,cyborg
Hands of Steel,tt0091166,martial arts
Hands of Steel,tt0091166,post-apocalyptic future
Hands of Steel,tt0091166,fistfight
Hands of Steel,tt0091166,shootout
Hands of Steel,tt0091166,decapitation
Hands of Steel,tt0091166,exploding car
Hands of Steel,tt0091166,rip-off
Bloodsport,tt0092675,martial arts
Bloodsport,tt0092675,biography
Bloodsport,tt0092675,fistfight
Bloodsport,tt0092675,sports
Bloodsport,tt0092675,sensei
Bloodsport,tt0092675,mixed martial arts
Bloodsport,tt0092675,hong kong
Bloodsport,tt0092675,tournament
Bloodsport,tt0092675,underground fighting
Bloodsport,tt0092675,walled city
Bloodsport,tt0092675,kowloon
Bloodsport,tt0092675,action hero
"No Retreat, No Surrender",tt0089695,showdown
"No Retreat, No Surrender",tt0089695,karate
"No Retreat, No Surrender",tt0089695,training
"No Retreat, No Surrender",tt0089695,cult film
"No Retreat, No Surrender",tt0089695,hoodlum
"No Retreat, No Surrender",tt0089695,ghost
Miami Connection,tt0092549,ninja
Miami Connection,tt0092549,computer class
Robowar,tt0096000,mercenary
Robowar,tt0096000,blonde
Robowar,tt0096000,survival
Robowar,tt0096000,jungle
Robowar,tt0096000,shootout
Robowar,tt0096000,bear trap
Robowar,tt0096000,robot
Robowar,tt0096000,jungle warfare
Frankenhooker,tt0099611,new york city
Frankenhooker,tt0099611,prostitute
Frankenhooker,tt0099611,lightning
Frankenhooker,tt0099611,brothel
Frankenhooker,tt0099611,reanimation
Frankenhooker,tt0099611,dark comedy
Frankenhooker,tt0099611,mad scientist
Frankenhooker,tt0099611,crack cocaine
Ninja Terminator,tt0199849,magic
Ninja Terminator,tt0199849,ninja
Never Too Young to Die,tt0091621,spy
Never Too Young to Die,tt0091621,terrorist
Never Too Young to Die,tt0091621,intersexuality
Never Too Young to Die,tt0091621,psychotronic
Never Too Young to Die,tt0091621,drag
Never Too Young to Die,tt0091621,intersex
Never Too Young to Die,tt0091621,gay
Dr. Caligari,tt0097228,asylum
Dr. Caligari,tt0097228,surrealism
Dr. Caligari,tt0097228,suburbia
Dr. Caligari,tt0097228,cult film
Dr. Caligari,tt0097228,psychotronic
Yeti: The Giant of the 20th Century,tt0076937,canada
Yeti: The Giant of the 20th Century,tt0076937,"toronto, canada"
Yeti: The Giant of the 20th Century,tt0076937,yeti
Lambada,tt0099969,dance
