title,imdb_id,production_companies
The Beastmaster,tt0083630,ECTA Filmproduktion
Raiders of the Living Dead,tt0138050,Independent International Pictures (I-I)
Raiders of the Living Dead,tt0138050,Cineronde-Canada
3:15,tt0090564,Romax
3:15,tt0090564,Wescom
The Vengeance of the Winged Serpent,tt0088344,Renn Productions
The Vengeance of the Winged Serpent,tt0088344,AMLF
The Vengeance of the Winged Serpent,tt0088344,Conacite Uno
Karate Warrior 6,tt0253526,Fulvia Film
Savage Streets,tt0088044,Ginso Investment Corp
Amsterdamned,tt0094651,First Floor Features
The Black Gestapo,tt0169620,Bryanston Distributing
SS Experiment Love Camp,tt0074768,Società Europea Films Internazionali Cinematografica (SEFI)
Ilsa: She Wolf of the SS,tt0071650,Cinépix
Ilsa: She Wolf of the SS,tt0071650,Aeteas Filmproduktions
"Yor, the Hunter from the Future",tt0084935,Columbia Pictures
"Yor, the Hunter from the Future",tt0084935,Les Films du Diamant
Captain America,tt0103923,Jadran Film
Captain America,tt0103923,Marvel Entertainment
Captain America,tt0103923,21st Century Film Corporation
Stone Cold,tt0102984,Metro-Goldwyn-Mayer
Programmed to Kill,tt0093790,Trans World Entertainment (TWE)
Programmed to Kill,tt0093790,Retaliator Productions
R.O.T.O.R.,tt0098156,Manson International
R.O.T.O.R.,tt0098156,WestWind Pictures
Killer Workout,tt0091339,Shapiro Entertainment
The Russian Ninja,tt0100531,Swedish Action Film Force
New Year's Evil,tt0082806,Cannon Group
The Star Wars Holiday Special,tt0193524,20th Century Fox Television
The Star Wars Holiday Special,tt0193524,Smith-Hemion Productions
The Star Wars Holiday Special,tt0193524,Winters Hollywood Entertainment Holdings Corporation
Christmas Evil,tt0081793,Pressman Film
Christmas Evil,tt0081793,Cinevid Productions
Little Hercules,tt0489210,Innovate Entertainment
Little Hercules,tt0489210,i.e. Effects
Death Wish 3,tt0089003,Cannon Group
Death Wish 3,tt0089003,Golan-Globus Productions
Chopping Mall,tt0090837,Concorde Pictures
Chopping Mall,tt0090837,Trinity Pictures
Savage Beach,tt0098257,Malibu Bay Films
Mad Foxes,tt0083291,Balcázar
